Opportunity Name,SDR Owner,Created Date,Opportunity Source,Recurring ARR,Accelerated ARR,Competitive Vendors,Type,Annual Revenue,Account Segment,Amount,Opportunity Owner,Close Date,Opp Set Type,Opportunity Owner: Manager,Opportunity ID
Heritage Mechanical - CW 4,Wes Kim,2025-08-21,Outbound,56900,0,,New Business,38848324,MM,70000,Eddie Coleman,2026-02-06,SDR Set - Outbound,Kevin Brand,006DEMO00000000003
Magnolia Builders - CW 9,Avery Greene,2025-03-02,Outbound,81600,0,,New Business,260860971,ENT,105000,Caroline Mead,2025-08-15,SDR Set - Outbound,Patrick Yu,006DEMO00000000008
Ironclad Electric - CW 11,Mira Schultz,2025-02-15,Outbound,78700,0,Competitor B,New Business,145719109,ENT,90000,Vikram Patel,2025-06-12,SDR Set - Outbound,Patrick Yu,006DEMO00000000010
Ironclad Electric - CW 19,,2025-08-09,Inbound,96000,0,,New Business,253903140,ENT,112000,Caroline Mead,2025-12-29,AE Set - Inbound,Patrick Yu,006DEMO00000000018
Summit Electric Inc - CW 33,,2025-06-19,Outbound,47700,0,,New Business,8554574,MM,61000,Lauren Park,2025-10-17,AE - Self Set,Kevin Brand,006DEMO00000000032
Ironclad Electric - CW 34,,2025-06-16,Inbound,36700,0,,New Business,205605744,ENT,45000,Caroline Mead,2025-10-24,AE Set - Inbound,Patrick Yu,006DEMO00000000033
Tannery Plumbing Co - CW 46,Mira Schultz,2025-07-23,6s Intent Signals,165000,0,,New Business,129436488,ENT,174000,Harper Lin,2025-10-12,6s,Patrick Yu,006DEMO00000000045
Whitestone Electric - CW 54,Avery Greene,2025-09-02,Outbound,185500,0,,New Business,257728593,ENT,207000,Harper Lin,2026-03-18,SDR Set - Outbound,Patrick Yu,006DEMO00000000053
Granite Industrial Services - CW 55,,2025-06-29,Event,169800,0,,New Business,272132446,ENT,186000,Harper Lin,2025-11-01,Event,Patrick Yu,006DEMO00000000054
Cobalt Plumbing Group - CW 57,Avery Greene,2025-03-18,6s Intent Signals,117400,0,,New Business,248295553,ENT,138000,Harper Lin,2025-08-31,6s,Patrick Yu,006DEMO00000000056
Foothill Sheet Metal - CW 61,Wes Kim,2025-09-14,Outbound,51300,0,Competitor A,New Business,10510308,MM,55000,Eddie Coleman,2025-12-02,SDR Set - Outbound,Kevin Brand,006DEMO00000000060
Western Ridge Electrical - CW 86,,2025-08-15,Inbound,71000,0,Competitor B,New Business,242512017,ENT,81000,Vikram Patel,2025-10-26,AE Set - Inbound,Patrick Yu,006DEMO00000000085
Whitestone Electric - CW 93,,2025-08-27,Outbound,31900,0,Competitor B,New Business,39935011,MM,38000,Lauren Park,2025-12-09,AE - Self Set,Kevin Brand,006DEMO00000000092
Highline HVAC - CW 97,Avery Greene,2025-05-19,Outbound,12300,0,Competitor A,New Business,48882943,MM,16000,Lauren Park,2025-10-10,SDR Set - Outbound,Kevin Brand,006DEMO00000000096
Summit Electric Inc - CW 108,,2025-03-09,Outbound,197800,0,,New Business,169921099,ENT,220000,Vikram Patel,2025-06-09,AE - Self Set,Patrick Yu,006DEMO00000000107
Cobalt Plumbing Group - CW 116,,2025-10-24,Inbound,134000,0,,New Business,187727969,ENT,166000,Caroline Mead,2026-04-09,AE Set - Inbound,Patrick Yu,006DEMO00000000115
Atlas Sheet Metal - CW 120,Mira Schultz,2025-05-26,6s Intent Signals,96800,0,,New Business,167813071,ENT,113000,Harper Lin,2025-11-23,6s,Patrick Yu,006DEMO00000000119
Western Ridge Electrical - CW 124,,2025-06-17,Inbound,18300,0,,New Business,138146037,ENT,23000,Vikram Patel,2025-11-21,AE Set - Inbound,Patrick Yu,006DEMO00000000123
Briarcliff Trades - CW 133,,2025-07-17,Partner,127300,0,,New Business,188581981,ENT,146000,Vikram Patel,2025-12-19,Partner,Patrick Yu,006DEMO00000000132
Beacon Industrial - CW 139,,2025-08-07,Inbound,48400,0,,New Business,199015115,ENT,51000,Harper Lin,2025-10-08,AE Set - Inbound,Patrick Yu,006DEMO00000000138
Western Ridge Electrical - CW 149,,2025-06-15,Outbound,43300,0,Competitor B,New Business,69944840,MM,49000,Tomás Reyes,2025-08-26,AE - Self Set,Kevin Brand,006DEMO00000000148
Ironclad Electric - CW 152,,2025-10-29,Inbound,29100,0,,New Business,71743054,MM,31000,Lauren Park,2026-05-15,AE Set - Inbound,Kevin Brand,006DEMO00000000151
Sentinel HVAC - CW 156,,2025-10-24,Inbound,20800,0,,New Business,35528270,MM,23000,Lauren Park,2026-05-15,AE Set - Inbound,Kevin Brand,006DEMO00000000155
Lakefront Mechanical - CW 160,,2025-06-18,Partner,22100,0,,New Business,11623875,MM,24000,Tomás Reyes,2025-12-10,Partner,Kevin Brand,006DEMO00000000159
Sentinel HVAC - CW 167,,2025-03-26,Inbound,35300,0,,New Business,23487179,MM,39000,Tomás Reyes,2025-08-16,AE Set - Inbound,Kevin Brand,006DEMO00000000166
Tannery Plumbing Co - CW 171,,2025-06-29,Partner,172600,0,,New Business,275737472,ENT,205000,Vikram Patel,2025-09-17,Partner,Patrick Yu,006DEMO00000000170
Brookline Trades - CW 172,,2025-06-30,Inbound,194500,0,,New Business,176857947,ENT,247000,Vikram Patel,2026-01-27,AE Set - Inbound,Patrick Yu,006DEMO00000000171
Anchor Plumbing - CW 174,,2025-07-30,Inbound,27100,0,Competitor B,New Business,182543325,ENT,35000,Caroline Mead,2025-09-21,AE Set - Inbound,Patrick Yu,006DEMO00000000173
Pinewood Construction Services - CW 186,Wes Kim,2025-07-08,6s Intent Signals,25900,0,Competitor B,New Business,63824427,MM,32000,Lauren Park,2025-08-13,6s,Kevin Brand,006DEMO00000000185
Cornerstone Mechanical - CW 188,Avery Greene,2025-07-23,Outbound,85500,0,,New Business,246056811,ENT,104000,Vikram Patel,2025-09-09,SDR Set - Outbound,Patrick Yu,006DEMO00000000187
Heritage Mechanical - CW 199,,2025-02-24,Event,48700,0,Competitor B,New Business,178264981,ENT,55000,Vikram Patel,2025-10-29,Event,Patrick Yu,006DEMO00000000198
Driftwood Mechanical - CW 202,Wes Kim,2025-02-23,Outbound,65500,0,Competitor B,New Business,272092482,ENT,81000,Caroline Mead,2025-08-05,SDR Set - Outbound,Patrick Yu,006DEMO00000000201
Foothill Sheet Metal - CW 209,Avery Greene,2025-03-04,Outbound,40800,0,,New Business,123492315,ENT,49000,Vikram Patel,2025-11-09,SDR Set - Outbound,Patrick Yu,006DEMO00000000208
Heritage Mechanical - CW 213,,2025-09-26,Inbound,66000,0,,New Business,16810809,MM,80000,Eddie Coleman,2026-05-15,AE Set - Inbound,Kevin Brand,006DEMO00000000212
Whitestone Electric - CW 225,,2025-05-09,Event,32100,0,Competitor B,New Business,56629633,MM,36000,Lauren Park,2025-12-26,Event,Kevin Brand,006DEMO00000000224
Cascade Mechanical - CW 229,Avery Greene,2025-06-19,6s Intent Signals,63900,0,,New Business,34240933,MM,74000,Eddie Coleman,2025-12-22,6s,Kevin Brand,006DEMO00000000228
Magnolia Builders - CW 234,,2025-04-12,Inbound,28400,0,Competitor A,New Business,22650836,MM,37000,Tomás Reyes,2025-05-15,AE Set - Inbound,Kevin Brand,006DEMO00000000233
Cornerstone Mechanical - CW 242,,2025-03-02,Partner,25400,0,,New Business,40862036,MM,33000,Tomás Reyes,2025-06-23,Partner,Kevin Brand,006DEMO00000000241
Western Ridge Electrical - CW 260,Avery Greene,2025-08-04,Outbound,16300,0,Competitor A,New Business,28346717,MM,20000,Lauren Park,2025-12-18,SDR Set - Outbound,Kevin Brand,006DEMO00000000259
Tannery Plumbing Co - CW 261,,2025-05-11,Inbound,49700,0,,New Business,26475659,MM,65000,Eddie Coleman,2025-10-18,AE Set - Inbound,Kevin Brand,006DEMO00000000260
Highline HVAC - CW 264,,2025-04-14,Inbound,62400,0,Competitor B,New Business,47977922,MM,72000,Jamal Whitfield,2025-09-01,AE Set - Inbound,Kevin Brand,006DEMO00000000263
Briarcliff Trades - CW 271,,2025-04-26,Event,40100,0,,New Business,53663785,MM,49000,Jamal Whitfield,2025-10-30,Event,Kevin Brand,006DEMO00000000270
Magnolia Builders - CW 287,,2025-05-31,Partner,34800,0,,New Business,50851308,MM,37000,Tomás Reyes,2025-12-02,Partner,Kevin Brand,006DEMO00000000286
Western Ridge Electrical - CW 297,,2025-04-29,Inbound,39100,0,Competitor B,New Business,13268908,MM,46000,Lauren Park,2025-11-24,AE Set - Inbound,Kevin Brand,006DEMO00000000296
Anchor Plumbing - CW 319,,2025-06-12,Inbound,45200,0,,New Business,32941550,MM,54000,Lauren Park,2025-08-10,AE Set - Inbound,Kevin Brand,006DEMO00000000318
Magnolia Builders - CW 337,,2025-05-31,Inbound,58200,0,Competitor B,New Business,40999494,MM,69000,Tomás Reyes,2026-02-20,AE Set - Inbound,Kevin Brand,006DEMO00000000336
Northwall Builders - CW 339,,2025-08-03,Inbound,34300,0,,New Business,38462687,MM,40000,Lauren Park,2026-01-26,AE Set - Inbound,Kevin Brand,006DEMO00000000338
Magnolia Builders - CW 342,,2025-02-04,Event,16600,0,Competitor A,New Business,10129874,MM,20000,Tomás Reyes,2025-08-07,Event,Kevin Brand,006DEMO00000000341
Northwall Builders - CW 348,,2025-01-13,Inbound,45800,0,Competitor B,New Business,10543476,MM,54000,Jamal Whitfield,2025-07-29,AE Set - Inbound,Kevin Brand,006DEMO00000000347
Foothill Sheet Metal - CW 360,,2025-08-11,Inbound,22300,0,,New Business,18800021,MM,26000,Lauren Park,2026-03-27,AE Set - Inbound,Kevin Brand,006DEMO00000000359
Ironclad Electric - CW 398,Mira Schultz,2025-08-20,Outbound,58200,0,,New Business,41571759,MM,63000,Lauren Park,2026-04-01,SDR Set - Outbound,Kevin Brand,006DEMO00000000397
Compass Sheet Metal - CW 400,,2025-03-28,Outbound,64400,0,,New Business,5289284,MM,76000,Tomás Reyes,2025-10-04,AE - Self Set,Kevin Brand,006DEMO00000000399
